TEMPO;PROCESSO;PAGINA;ACAO
1;1;0;ENTROU
1;1;1;ENTROU
1;1;2;ENTROU
1;1;3;ENTROU
1;1;4;ENTROU
1;1;5;ENTROU
1;1;6;ENTROU
1;1;7;ENTROU
1;1;8;ENTROU
1;1;9;ENTROU
1;1;10;ENTROU
1;1;11;ENTROU
1;1;12;ENTROU
2;2;13;ENTROU
2;2;14;ENTROU
2;2;15;ENTROU
2;2;16;ENTROU
2;2;17;ENTROU
2;2;18;ENTROU
2;2;19;ENTROU
2;2;20;ENTROU
2;2;21;ENTROU
2;2;22;ENTROU
2;2;23;ENTROU
2;2;24;ENTROU
2;2;25;ENTROU
2;2;26;ENTROU
2;3;27;ENTROU
2;3;28;ENTROU
2;3;29;ENTROU
2;3;30;ENTROU
2;3;31;ENTROU
2;3;32;ENTROU
2;3;33;ENTROU
2;3;34;ENTROU
2;3;35;ENTROU
2;3;36;ENTROU
2;3;37;ENTROU
2;3;38;ENTROU
2;3;39;ENTROU
4;2;13;SAIU
4;2;14;SAIU
4;2;15;SAIU
4;2;16;SAIU
4;2;17;SAIU
4;2;18;SAIU
4;2;19;SAIU
4;2;20;SAIU
4;2;21;SAIU
4;2;22;SAIU
4;2;23;SAIU
4;2;24;SAIU
4;2;25;SAIU
4;2;26;SAIU
4;4;13;ENTROU
4;4;14;ENTROU
4;4;15;ENTROU
4;4;16;ENTROU
4;4;17;ENTROU
4;4;18;ENTROU
4;4;19;ENTROU
4;4;20;ENTROU
4;4;21;ENTROU
4;4;22;ENTROU
4;4;23;ENTROU
4;4;24;ENTROU
4;4;25;ENTROU
4;4;26;ENTROU
4;4;13;SAIU
4;4;14;SAIU
4;4;15;SAIU
4;4;16;SAIU
4;4;17;SAIU
4;4;18;SAIU
4;4;19;SAIU
4;4;20;SAIU
4;4;21;SAIU
4;4;22;SAIU
4;4;23;SAIU
4;4;24;SAIU
4;4;25;SAIU
4;4;26;SAIU
5;3;27;SAIU
5;3;28;SAIU
5;3;29;SAIU
5;3;30;SAIU
5;3;31;SAIU
5;3;32;SAIU
5;3;33;SAIU
5;3;34;SAIU
5;3;35;SAIU
5;3;36;SAIU
5;3;37;SAIU
5;3;38;SAIU
5;3;39;SAIU
5;5;13;ENTROU
5;5;14;ENTROU
5;5;15;ENTROU
5;5;16;ENTROU
5;5;17;ENTROU
5;5;18;ENTROU
5;5;19;ENTROU
5;5;20;ENTROU
5;5;21;ENTROU
5;5;22;ENTROU
5;5;23;ENTROU
5;5;24;ENTROU
5;5;25;ENTROU
5;5;26;ENTROU
5;5;27;ENTROU
6;5;13;SAIU
6;5;14;SAIU
6;5;15;SAIU
6;5;16;SAIU
6;5;17;SAIU
6;5;18;SAIU
6;5;19;SAIU
6;5;20;SAIU
6;5;21;SAIU
6;5;22;SAIU
6;5;23;SAIU
6;5;24;SAIU
6;5;25;SAIU
6;5;26;SAIU
6;5;27;SAIU
6;6;13;ENTROU
6;6;14;ENTROU
6;6;15;ENTROU
6;6;16;ENTROU
6;6;17;ENTROU
6;6;18;ENTROU
6;6;19;ENTROU
6;6;20;ENTROU
6;6;21;ENTROU
6;6;22;ENTROU
6;6;23;ENTROU
6;6;24;ENTROU
6;6;25;ENTROU
6;6;26;ENTROU
6;6;27;ENTROU
6;6;28;ENTROU
7;7;29;ENTROU
7;7;30;ENTROU
7;7;31;ENTROU
7;7;32;ENTROU
7;7;33;ENTROU
7;7;34;ENTROU
7;7;35;ENTROU
7;7;36;ENTROU
7;7;37;ENTROU
7;7;38;ENTROU
7;7;39;ENTROU
7;7;40;ENTROU
7;7;41;ENTROU
7;7;42;ENTROU
7;7;43;ENTROU
7;7;44;ENTROU
7;7;45;ENTROU
7;7;46;ENTROU
7;7;47;ENTROU
7;7;48;ENTROU
7;7;49;ENTROU
7;7;50;ENTROU
7;7;51;ENTROU
7;7;52;ENTROU
7;7;53;ENTROU
7;7;54;ENTROU
10;1;0;SAIU
10;1;1;SAIU
10;1;2;SAIU
10;1;3;SAIU
10;1;4;SAIU
10;1;5;SAIU
10;1;6;SAIU
10;1;7;SAIU
10;1;8;SAIU
10;1;9;SAIU
10;1;10;SAIU
10;1;11;SAIU
10;1;12;SAIU
10;6;13;SAIU
10;6;14;SAIU
10;6;15;SAIU
10;6;16;SAIU
10;6;17;SAIU
10;6;18;SAIU
10;6;19;SAIU
10;6;20;SAIU
10;6;21;SAIU
10;6;22;SAIU
10;6;23;SAIU
10;6;24;SAIU
10;6;25;SAIU
10;6;26;SAIU
10;6;27;SAIU
10;6;28;SAIU
10;8;0;ENTROU
10;8;1;ENTROU
10;8;2;ENTROU
10;8;3;ENTROU
10;8;4;ENTROU
10;8;5;ENTROU
10;8;6;ENTROU
10;8;7;ENTROU
10;8;8;ENTROU
10;8;9;ENTROU
10;8;10;ENTROU
10;8;11;ENTROU
10;8;12;ENTROU
10;8;13;ENTROU
10;8;14;ENTROU
10;8;15;ENTROU
10;8;16;ENTROU
10;8;17;ENTROU
10;8;18;ENTROU
10;8;19;ENTROU
10;8;20;ENTROU
10;8;21;ENTROU
10;8;22;ENTROU
10;8;23;ENTROU
10;8;24;ENTROU
10;8;25;ENTROU
11;8;0;SAIU
11;8;1;SAIU
11;8;2;SAIU
11;8;3;SAIU
11;8;4;SAIU
11;8;5;SAIU
11;8;6;SAIU
11;8;7;SAIU
11;8;8;SAIU
11;8;9;SAIU
11;8;10;SAIU
11;8;11;SAIU
11;8;12;SAIU
11;8;13;SAIU
11;8;14;SAIU
11;8;15;SAIU
11;8;16;SAIU
11;8;17;SAIU
11;8;18;SAIU
11;8;19;SAIU
11;8;20;SAIU
11;8;21;SAIU
11;8;22;SAIU
11;8;23;SAIU
11;8;24;SAIU
11;8;25;SAIU
11;9;0;ENTROU
11;9;1;ENTROU
11;9;2;ENTROU
11;9;3;ENTROU
11;9;4;ENTROU
11;9;5;ENTROU
11;9;6;ENTROU
11;9;7;ENTROU
11;9;8;ENTROU
11;9;9;ENTROU
11;9;10;ENTROU
11;9;11;ENTROU
11;9;12;ENTROU
11;9;13;ENTROU
11;9;14;ENTROU
11;9;15;ENTROU
11;9;16;ENTROU
11;9;17;ENTROU
11;9;18;ENTROU
11;9;19;ENTROU
11;9;20;ENTROU
11;9;21;ENTROU
11;9;22;ENTROU
11;9;23;ENTROU
11;9;24;ENTROU
11;9;25;ENTROU
13;9;0;SAIU
13;9;1;SAIU
13;9;2;SAIU
13;9;3;SAIU
13;9;4;SAIU
13;9;5;SAIU
13;9;6;SAIU
13;9;7;SAIU
13;9;8;SAIU
13;9;9;SAIU
13;9;10;SAIU
13;9;11;SAIU
13;9;12;SAIU
13;9;13;SAIU
13;9;14;SAIU
13;9;15;SAIU
13;9;16;SAIU
13;9;17;SAIU
13;9;18;SAIU
13;9;19;SAIU
13;9;20;SAIU
13;9;21;SAIU
13;9;22;SAIU
13;9;23;SAIU
13;9;24;SAIU
13;9;25;SAIU
13;10;0;ENTROU
13;10;1;ENTROU
13;10;2;ENTROU
13;10;3;ENTROU
